Interrupcao do kbd subscrita. Hook ID usado = 1, kbd_irq_set = 0x00000002
Cursor position updated: x = 15, y = 988
Cursor position updated: x = 16, y = 988
Cursor position updated: x = 16, y = 988
Cursor position updated: x = 16, y = 988
Cursor position updated: x = 16, y = 988
Cursor position updated: x = 16, y = 988
Cursor position updated: x = 16, y = 988
Cursor position updated: x = 17, y = 988
Cursor position updated: x = 17, y = 987
Cursor position updated: x = 17, y = 985
Cursor position updated: x = 17, y = 981
Cursor position updated: x = 17, y = 980
Cursor position updated: x = 17, y = 972
Cursor position updated: x = 17, y = 971
Cursor position updated: x = 17, y = 969
Cursor position updated: x = 17, y = 965
Cursor position updated: x = 17, y = 960
Cursor position updated: x = 17, y = 954
Cursor position updated: x = 20, y = 939
Cursor position updated: x = 25, y = 910
Cursor position updated: x = 27, y = 896
Cursor position updated: x = 29, y = 881
Cursor position updated: x = 30, y = 874
Cursor position updated: x = 34, y = 847
Cursor position updated: x = 36, y = 835
Cursor position updated: x = 38, y = 823
Cursor position updated: x = 39, y = 813
Cursor position updated: x = 42, y = 793
Cursor position updated: x = 43, y = 786
Cursor position updated: x = 44, y = 778
Cursor position updated: x = 45, y = 771
Cursor position updated: x = 46, y = 758
Cursor position updated: x = 47, y = 751
Cursor position updated: x = 48, y = 745
Cursor position updated: x = 49, y = 737
Cursor position updated: x = 51, y = 726
Cursor position updated: x = 0, y = 702
Cursor position updated: x = 0, y = 700
Cursor position updated: x = 1, y = 700
Cursor position updated: x = 4, y = 700
Cursor position updated: x = 12, y = 699
Cursor position updated: x = 15, y = 699
Cursor position updated: x = 20, y = 699
Cursor position updated: x = 29, y = 699
Cursor position updated: x = 30, y = 699
Cursor position updated: x = 40, y = 700
Cursor position updated: x = 43, y = 700
Cursor position updated: x = 47, y = 701
Cursor position updated: x = 52, y = 701
Cursor position updated: x = 56, y = 702
Cursor position updated: x = 62, y = 702
Cursor position updated: x = 66, y = 703
Cursor position updated: x = 75, y = 703
Cursor position updated: x = 84, y = 704
Cursor position updated: x = 89, y = 704
Cursor position updated: x = 93, y = 704
Cursor position updated: x = 100, y = 704
Cursor position updated: x = 103, y = 705
Cursor position updated: x = 106, y = 705
Cursor position updated: x = 110, y = 705
Cursor position updated: x = 116, y = 706
Cursor position updated: x = 119, y = 706
Cursor position updated: x = 122, y = 707
Cursor position updated: x = 125, y = 707
Cursor position updated: x = 130, y = 708
Cursor position updated: x = 134, y = 709
Cursor position updated: x = 137, y = 709
Cursor position updated: x = 140, y = 710
Cursor position updated: x = 146, y = 711
Cursor position updated: x = 149, y = 711
Cursor position updated: x = 151, y = 711
Cursor position updated: x = 155, y = 712
Cursor position updated: x = 163, y = 712
Cursor position updated: x = 167, y = 713
Cursor position updated: x = 170, y = 713
Cursor position updated: x = 175, y = 713
Cursor position updated: x = 181, y = 713
Cursor position updated: x = 185, y = 713
Cursor position updated: x = 189, y = 713
Cursor position updated: x = 191, y = 713
Cursor position updated: x = 196, y = 713
Cursor position updated: x = 197, y = 713
Cursor position updated: x = 198, y = 713
Cursor position updated: x = 199, y = 713
Cursor position updated: x = 199, y = 713
Cursor position updated: x = 201, y = 713
Cursor position updated: x = 204, y = 714
Cursor position updated: x = 211, y = 717
Cursor position updated: x = 215, y = 718
Cursor position updated: x = 220, y = 720
Cursor position updated: x = 225, y = 721
Cursor position updated: x = 232, y = 722
Cursor position updated: x = 236, y = 723
Cursor position updated: x = 240, y = 723
Cursor position updated: x = 250, y = 725
Cursor position updated: x = 254, y = 726
Cursor position updated: x = 259, y = 726
Cursor position updated: x = 265, y = 727
Cursor position updated: x = 275, y = 728
Cursor position updated: x = 277, y = 729
Cursor position updated: x = 282, y = 729
Cursor position updated: x = 286, y = 730
Cursor position updated: x = 292, y = 731
Cursor position updated: x = 295, y = 732
Cursor position updated: x = 298, y = 732
Cursor position updated: x = 300, y = 733
Cursor position updated: x = 305, y = 734
Cursor position updated: x = 308, y = 734
Cursor position updated: x = 311, y = 734
Cursor position updated: x = 313, y = 735
Cursor position updated: x = 317, y = 735
Cursor position updated: x = 320, y = 735
Cursor position updated: x = 321, y = 735
Cursor position updated: x = 322, y = 735
Cursor position updated: x = 324, y = 735
Cursor position updated: x = 325, y = 735
Cursor position updated: x = 326, y = 735
Cursor position updated: x = 327, y = 735
Cursor position updated: x = 330, y = 735
Cursor position updated: x = 333, y = 735
Cursor position updated: x = 342, y = 735
Cursor position updated: x = 350, y = 734
Cursor position updated: x = 352, y = 734
Cursor position updated: x = 359, y = 734
Cursor position updated: x = 363, y = 734
Cursor position updated: x = 369, y = 734
Cursor position updated: x = 372, y = 734
Cursor position updated: x = 374, y = 734
Cursor position updated: x = 377, y = 734
Cursor position updated: x = 381, y = 734
Cursor position updated: x = 382, y = 734
Cursor position updated: x = 383, y = 734
Cursor position updated: x = 385, y = 734
Cursor position updated: x = 387, y = 734
Cursor position updated: x = 388, y = 734
Cursor position updated: x = 389, y = 734
Cursor position updated: x = 390, y = 734
Cursor position updated: x = 391, y = 734
Cursor position updated: x = 393, y = 735
Cursor position updated: x = 394, y = 735
Cursor position updated: x = 395, y = 735
Cursor position updated: x = 396, y = 735
Cursor position updated: x = 396, y = 735
vg_draw_scaled_pixmap: Invalid parameters.
Cursor position updated: x = 396, y = 735
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
vg_draw_scaled_pixmap: Invalid parameters.
